Teams,HomeTeams,Date,Location
San Francisco SF,San Diego USD,20201230,"Jenny Craig Pavilion, San Diego, CA"
Pacific PAC,Saint Mary's SMC,20201230,"University Credit Union Pavilion, Moraga, CA"
Portland PORT,Loyola Marymount LMU,20201230,"Gersten Pavilion, Los Angeles, CA"
Murray State MURR,Belmont BEL,20201230,"Curb Event Center Arena, Nashville, TN"
UT Martin UTM,Jacksonville State JVST,20201230,"Pete Mathews Coliseum, Jacksonville, AL"
SIU Edwardsville SIUE,Morehead State MORE,20201230,"Ellis T. Johnson Arena, Morehead, KY"
Austin Peay APSU,Tennessee State TNST,20201230,"Gentry Center, Nashville, TN"
Ole Miss MISS,South Carolina SC,20201231,"Colonial Life Arena, Columbia, SC"
Louisville LOU,Duke DUKE,20201231,"Cameron Indoor Stadium, Durham, NC"
Mississippi State MSST,Georgia UGA,20201231,"Stegeman Coliseum, Athens, GA"
NC State NCST,Georgia Tech GT,20201231,"McCamish Pavilion, Atlanta, GA"
Arkansas ARK,Kentucky UK,20201231,"Memorial Coliseum , Lexington, KY"
Tennessee TENN,Texas A&M TA&M,20201231,"Reed Arena, College Station, TX"
Notre Dame ND,Miami MIA,20201231,"Watsco Center, Coral Gables, FL"
North Carolina UNC,Syracuse SYR,20201231,"Carrier Dome, Syracuse, NY"
Piedmont PIED,Western Carolina WCU,20201231,"Ramsey Regional Activity Center, Cullowhee, NC"
UNLV UNLV,San Diego State SDSU,20201231,"Viejas Arena, San Diego, CA"
New Mexico UNM,Nevada NEV,20201231,"Lawlor Events Center, Reno, NV"
San José State SJSU,Boise State BSU,20201231,"ExtraMile Arena, Boise, ID"
Air Force AFA,Utah State USU,20201231,"Dee Glen Smith Spectrum, Logan, UT"
Florida FLA,Vanderbilt VAN,20201231,"Memorial Gymnasium , Nashville, TN"
Auburn AUB,LSU LSU,20201231,"Pete Maravich Assembly Center, Baton Rouge, LA"
Alabama ALA,Missouri MIZ,20201231,"Mizzou Arena, Columbia, MO"
Boston College BC,Pittsburgh PITT,20201231,"Petersen Events Center, Pittsburgh, PA"
Clemson CLEM,Florida State FSU,20201231,"Donald L. Tucker Center, Tallahassee, FL"
Presbyterian PRES,Radford RAD,20201231,"Donald N. Dedmon Center, Radford, VA"
Longwood LONG,UNC Asheville UNCA,20201231,"Kimmel Arena, Asheville, NC"
High Point HPU,South Carolina Upstate SCUP,20201231,"G. B. Hodge Center, Spartanburg, SC"
Hampton HAMP,Gardner-Webb GWEB,20201231,"Paul Porter Arena, Boiling Springs, NC"
Winthrop WIN,Campbell CAMP,20201231,"John W. Pope Jr. Convocation Center, Buies Creek, NC"
Newberry NBR,East Tennessee State ETSU,20201231,"Brooks Gym, Johnson City, TN"
North Texas UNT,UAB UAB,20201231,"Bartow Arena, Birmingham, AL"
Charlotte CLT,Western Kentucky WKU,20201231,"E. A. Diddle Arena, Bowling Green, KY"
Louisiana Tech LT,Marshall MRSH,20201231,"Cam Henderson Center, Huntington, WV"
Florida International FIU,Old Dominion ODU,20201231,"Chartway Arena, Norfolk, VA"
Florida Atlantic FAU,Middle Tennessee MTSU,20201231,"Murphy Athletic Center, Murfreesboro, TN"
Northern Iowa UNI,Illinois State ILST,20201231,"Redbird Arena, Normal, IL"
Drake DRKE,Bradley BRAD,20201231,"Renaissance Coliseum, Peoria, IL"
Montana MONT,Northern Colorado UNCO,20201231,"Bank of Colorado Arena, Greeley, CO"
Idaho State IDST,Weber State WEB,20201231,"Dee Events Center, Ogden, UT"
Idaho IDHO,Northern Arizona NAU,20201231,"J. Lawrence Walkup Skydome, Flagstaff, AZ"
Eastern Washington EWU,Portland State PRST,20201231,"Viking Pavilion, Portland, OR"
Montana State MTST,Southern Utah SUU,20201231,"America First Events Center, Cedar City, UT"
Stanford STAN,Arizona ARIZ,20210101,"McKale Center, Tucson, AZ"
UCLA UCLA,Oregon State ORST,20210101,"Gill Coliseum, Corvallis, OR"
Washington State WSU,Utah UTAH,20210101,"Jon M. Huntsman Center, Salt Lake City, UT"
Washington WASH,Colorado COLO,20210101,"CU Events Center, Boulder, CO"
Siena SIE,Monmouth MONM,20210101,"OceanFirst Bank Center, West Long Branch, NJ"
Marist MRST,Quinnipiac QUIN,20210101,"People's United Center, Hamden, CT"
Iona IONA,Niagara NIAG,20210101,"Gallagher Center, Niagara Falls, NY"
Fairfield FAIR,Rider RID,20210101,"Alumni Gymnasium , Lawrenceville, NJ"
Canisius CAN,Saint Peter's SPU,20210101,"Yanitelli Center, Jersey City, NJ"
Rice RICE,UTSA UTSA,20210101,"UTSA Convocation Center, San Antonio, TX"
Wright State WRST,Youngstown State YSU,20210101,"Beeghly Center, Youngstown, OH"
Green Bay GB,Oakland OAK,20210101,"Athletics Center O'rena, Rochester, MI"
IUPUI IUPU,Robert Morris RMU,20210101,"UPMC Events Center, Moon Township, PA"
UIC UIC,Purdue Fort Wayne PFW,20210101,"Hilliard Gates Sports Center, Fort Wayne, IN"
Cleveland State CLEV,Northern Kentucky NKU,20210101,"BB&T Arena, Highland Heights, KY"
Georgia Southern GASO,South Alabama USA,20210101,"Mitchell Center, Mobile, AL"
Louisiana UL,Texas State TXST,20210101,"Strahan Arena at the University Events Center, San Marcos, TX"
Coastal Carolina CCU,Georgia State GAST,20210101,"GSU Sports Arena, Atlanta, GA"
Southern Miss USM,UTEP UTEP,20210101,"Don Haskins Center, El Paso, TX"
James Madison JMU,Towson TOW,20210101,"SECU Arena, Towson, MD"
UC Santa Barbara UCSB,CSU Fullerton CSUF,20210101,"Titan Gym, Fullerton, CA"
Long Beach State LBSU,CSU Bakersfield CSUB,20210101,"Icardo Center, Bakersfield, CA"
Cal Poly CP,UC San Diego UCSD,20210101,"RIMAC Arena, San Diego, CA"
USC USC,Oregon ORE,20210101,"Matthew Knight Arena, Eugene, OR"
California CAL,Arizona State ASU,20210101,"Desert Financial Arena, Tempe, AZ"
Little Rock UALR,UT Arlington UTA,20210101,"College Park Center, Arlington, TX"
Milwaukee MILW,Detroit Mercy DET,20210101,"Calihan Hall, Detroit, MI"
UC Davis UCD,UC Riverside UCR,20210101,"SRC Arena, Riverside, CA"
Southern Illinois SIU,Indiana State INST,20210101,"Hulman Center, Terre Haute, IN"
Missouri State MOST,Evansville EVAN,20210101,"Ford Center, Evansville, IN"
UL Monroe ULM,Arkansas State ARST,20210101,"First National Bank Arena, Jonesboro, AR"
Appalachian State APP,Troy TROY,20210101,"Trojan Arena, Troy, AL"
Baylor BAY,TCU TCU,20210102,"Ed and Rae Schollmaier Arena, Fort Worth, TX"
Saint Mary's SMC,Gonzaga GONZ,20210102,"McCarthey Athletic Center, Spokane, WA"
Newberry NBR,Furman FUR,20210102,"Timmons Arena, Greenville, SC"
UNLV UNLV,San Diego State SDSU,20210102,"Viejas Arena, San Diego, CA"
New Mexico UNM,Nevada NEV,20210102,"Lawlor Events Center, Reno, NV"
Fresno State FRES,Wyoming WYO,20210102,"Arena Auditorium, Laramie, WY"
San José State SJSU,Boise State BSU,20210102,"ExtraMile Arena, Boise, ID"
Air Force AFA,Utah State USU,20210102,"Dee Glen Smith Spectrum, Logan, UT"
Siena SIE,Monmouth MONM,20210102,"OceanFirst Bank Center, West Long Branch, NJ"
Marist MRST,Quinnipiac QUIN,20210102,"People's United Center, Hamden, CT"
Iona IONA,Niagara NIAG,20210102,"Gallagher Center, Niagara Falls, NY"
Fairfield FAIR,Rider RID,20210102,"Alumni Gymnasium , Lawrenceville, NJ"
Canisius CAN,Saint Peter's SPU,20210102,"Yanitelli Center, Jersey City, NJ"
Rice RICE,UTSA UTSA,20210102,"UTSA Convocation Center, San Antonio, TX"
Northwestern State NWST,Houston Baptist HBU,20210102,"Sharp Gymnasium, Houston, TX"
Lehigh LEH,Lafayette LAF,20210102,"Kirby Sports Center, Easton, PA"
Navy NAVY,Bucknell BUCK,20210102,"Sojka Pavilion, Lewisburg, PA"
Holy Cross HC,Boston University BU,20210102,"Case Gym, Boston, MA"
Colgate COLG,Army ARMY,20210102,"Christl Arena, West Point, NY"
Loyola (MD) L-MD,American AMER,20210102,"Bender Arena, Washington, DC"
New Orleans UNO,Stephen F. Austin SFA,20210102,"William R. Johnson Coliseum, Nacogdoches, TX"
Oral Roberts ORU,Omaha OMA,20210102,"Baxter Arena, Omaha, NE"
North Dakota State NDSU,Western Illinois WIU,20210102,"LeRoy A. Ufkes Court at Western Hall, Macomb, IL"
Denver DEN,South Dakota SDAK,20210102,"Sanford Coyote Sports Center, Vermillion, SD"
UM Kansas City UMKC,North Dakota UND,20210102,"Betty Engelstad Sioux Center, Grand Forks, ND"
Wright State WRST,Youngstown State YSU,20210102,"Beeghly Center, Youngstown, OH"
Green Bay GB,Oakland OAK,20210102,"Athletics Center O'rena, Rochester, MI"
IUPUI IUPU,Robert Morris RMU,20210102,"UPMC Events Center, Moon Township, PA"
UIC UIC,Purdue Fort Wayne PFW,20210102,"Hilliard Gates Sports Center, Fort Wayne, IN"
Cleveland State CLEV,Northern Kentucky NKU,20210102,"BB&T Arena, Highland Heights, KY"
Ottawa (AZ) OTAZ,Dixie State DXST,20210102,"Burns Arena, St. George, UT"
Lamar LAM,Abilene Christian ACU,20210102,"Moody Coliseum , Abilene, TX"
Coastal Carolina CCU,Georgia State GAST,20210102,"GSU Sports Arena, Atlanta, GA"
Georgia Southern GASO,South Alabama USA,20210102,"Mitchell Center, Mobile, AL"
Louisiana UL,Texas State TXST,20210102,"Strahan Arena at the University Events Center, San Marcos, TX"
UMass Lowell UML,NJIT NJIT,20210102,"NJIT Wellness and Events Center, Newark, NJ"
Maine ME,New Hampshire UNH,20210102,"Lundholm Gymnasium, Durham, NH"
Stony Brook STBK,UMBC UMBC,20210102,"UMBC Event Center, Baltimore, MD"
Hartford HART,Binghamton BING,20210102,"Events Center , Binghamton, NY"
Vermont UVM,Albany ALB,20210102,"SEFCU Arena, Albany, NY"
Prairie View A&M PV,Southern SOU,20210102,"F. G. Clark Activity Center, Baton Rouge, LA"
Mississippi Valley State MVSU,Arkansas-Pine Bluff ARPB,20210102,"H. O. Clemmons Arena, Pine Bluff, AR"
Texas Southern TXSO,Alcorn State ALCN,20210102,"Davey L. Whitney Complex, Lorman, MS"
Grambling GRAM,Alabama State ALST,20210102,"Dunn-Oliver Acadome, Montgomery, AL"
Jackson State JKST,Alabama A&M AAMU,20210102,"T.M. Elmore Gymnasium, Normal, AL"
Kennesaw State KENN,Jacksonville JAX,20210102,"Swisher Gymnasium, Jacksonville, FL"
Stetson STET,North Florida UNF,20210102,"UNF Arena, Jacksonville, FL"
Southern Miss USM,UTEP UTEP,20210102,"Don Haskins Center, El Paso, TX"
North Texas UNT,UAB UAB,20210102,"Bartow Arena, Birmingham, AL"
Charlotte CLT,Western Kentucky WKU,20210102,"E. A. Diddle Arena, Bowling Green, KY"
Louisiana Tech LT,Marshall MRSH,20210102,"Cam Henderson Center, Huntington, WV"
Florida International FIU,Old Dominion ODU,20210102,"Chartway Arena, Norfolk, VA"
Florida Atlantic FAU,Middle Tennessee MTSU,20210102,"Murphy Athletic Center, Murfreesboro, TN"
Drake DRKE,Illinois State ILST,20210102,"Redbird Arena, Normal, IL"
Northern Iowa UNI,Bradley BRAD,20210102,"Renaissance Coliseum, Peoria, IL"
Loyola Chicago LUC,Valparaiso VAL,20210102,"Athletics-Recreation Center, Valparaiso, IN"
North Carolina Central NCCU,South Carolina State SCST,20210102,"S-H-M Memorial Center, Orangeburg, SC"
Howard HOW,Delaware State DSU,20210102,"Memorial Hall , Dover, DE"
Coppin State COPP,Norfolk State NORF,20210102,"Joseph G. Echols Hall, Norfolk, VA"
Western Michigan WMU,Northern Illinois NIU,20210102,"NIU Convocation Center, Dekalb, IL"
Buffalo BUFF,Miami (OH) M-OH,20210102,"Millett Hall, Oxford, OH"
Central Michigan CMU,Ohio OHIO,20210102,"Convocation Center , Athens, OH"
Bowling Green BGSU,Ball State BALL,20210102,"Worthen Arena, Muncie, IN"
Akron AKR,Toledo TOL,20210102,"Savage Arena, Toledo, OH"
Kent State KENT,Eastern Michigan EMU,20210102,"Convocation Center , Ypsilanti, MI"
Delaware DEL,Charleston COFC,20210102,"TD Arena, Charleston, SC"
Drexel DREX,UNC Wilmington UNCW,20210102,"Trask Coliseum, Wilmington, NC"
Hofstra HOF,William & Mary W&M,20210102,"Kaplan Arena, Williamsburg, VA"
Northeastern NE,Elon ELON,20210102,"Schar Center, Elon, NC"
Pepperdine PEPP,San Francisco SF,20210102,"War Memorial at the Sobrato Center, San Francisco, CA"
Pacific PAC,Portland PORT,20210102,"Chiles Center, Portland, OR"
Loyola Marymount LMU,Santa Clara SCU,20210102,"Leavey Center, Santa Clara, CA"
UC Santa Barbara UCSB,CSU Fullerton CSUF,20210102,"Titan Gym, Fullerton, CA"
Long Beach State LBSU,CSU Bakersfield CSUB,20210102,"Icardo Center, Bakersfield, CA"
Cal Poly CP,UC San Diego UCSD,20210102,"RIMAC Arena, San Diego, CA"
Montana MONT,Northern Colorado UNCO,20210102,"Bank of Colorado Arena, Greeley, CO"
Weber State WEB,Idaho State IDST,20210102,"Reed Gym, Pocatello, ID"
Idaho IDHO,Northern Arizona NAU,20210102,"J. Lawrence Walkup Skydome, Flagstaff, AZ"
Eastern Washington EWU,Portland State PRST,20210102,"Viking Pavilion, Portland, OR"
Texas Tech TTU,Oklahoma State OKST,20210102,"Gallagher-Iba Arena, Stillwater, OK"
Kansas State KSU,Oklahoma OU,20210102,"Lloyd Noble Center, Norman, OK"
West Virginia WVU,Kansas KU,20210102,"Allen Fieldhouse, Lawrence, KS"
Sam Houston State SHSU,Nicholls State NICH,20210102,"David R. Stopher Gymnasium, Thibodaux, LA"
Erskine ERS,Wofford WOF,20210102,"Jerry Richardson Indoor Stadium, Spartanburg, SC"
Morehead State MORE,Murray State MURR,20210102,"CFSB Center, Murray, KY"
Jacksonville State JVST,SIU Edwardsville SIUE,20210102,"First Community Arena at the Vadalabene Center, Edwardsville, IL"
Tennessee Tech TNTC,Eastern Illinois EIU,20210102,"Lantz Arena, Charleston, IL"
Belmont BEL,UT Martin UTM,20210102,"Skyhawk Arena, Martin, TN"
Eastern Kentucky EKY,Austin Peay APSU,20210102,"Winfield Dunn Center, Clarksville, TN"
Texas A&M-CC AMCC,SE Louisiana SELA,20210102,"University Center , Hammond, LA"
Central Arkansas CARK,McNeese State MCNS,20210102,"Burton Coliseum, Lake Charles, LA"
Lipscomb LIP,Liberty LIB,20210102,"Vines Convocation Center, Lynchburg, VA"
Tennessee State TNST,Southeast Missouri State SEMO,20210102,"Show Me Center, Cape Girardeau, MO"
Little Rock UALR,UT Arlington UTA,20210102,"College Park Center, Arlington, TX"
Montana State MTST,Southern Utah SUU,20210102,"America First Events Center, Cedar City, UT"
Milwaukee MILW,Detroit Mercy DET,20210102,"Calihan Hall, Detroit, MI"
UL Monroe ULM,Arkansas State ARST,20210102,"First National Bank Arena, Jonesboro, AR"
Appalachian State APP,Troy TROY,20210102,"Trojan Arena, Troy, AL"
UC Davis UCD,UC Riverside UCR,20210102,"SRC Arena, Riverside, CA"
Florida Gulf Coast FGCU,North Alabama UNA,20210102,"Flowers Hall, Florence, AL"
Stanford STAN,Arizona State ASU,20210103,"Desert Financial Arena, Tempe, AZ"
Louisville LOU,Virginia UVA,20210103,"John Paul Jones Arena, Charlottesville, VA"
Vanderbilt VAN,Mississippi State MSST,20210103,"Humphrey Coliseum, Starkville, MS"
California CAL,Arizona ARIZ,20210103,"McKale Center, Tucson, AZ"
Boston College BC,NC State NCST,20210103,"William Neal Reynolds Coliseum, Raleigh, NC"
UCLA UCLA,Oregon ORE,20210103,"Matthew Knight Arena, Eugene, OR"
Kentucky UK,Tennessee TENN,20210103,"Thompson-Boling Arena, Knoxville, TN"
Texas A&M TA&M,Florida FLA,20210103,"Exactech Arena at Stephen C. O'Connell Center, Gainesville, FL"
Missouri MIZ,Arkansas ARK,20210103,"Bud Walton Arena, Fayetteville, AR"
Iowa State ISU,Texas TEX,20210103,"Frank Erwin Center, Austin, TX"
USC USC,Oregon State ORST,20210103,"Gill Coliseum, Corvallis, OR"
Georgia Tech GT,Notre Dame ND,20210103,"Purcell Pavilion, South Bend, IN"
Washington WASH,Utah UTAH,20210103,"Jon M. Huntsman Center, Salt Lake City, UT"
Washington State WSU,Colorado COLO,20210103,"CU Events Center, Boulder, CO"
LSU LSU,Ole Miss MISS,20210103,"The Pavilion at Ole Miss, Oxford, MS"
Georgia UGA,Auburn AUB,20210103,"Auburn Arena, Auburn, AL"
Florida State FSU,Wake Forest WAKE,20210103,"Lawrence Joel Coliseum, Winston-Salem, NC"
North Carolina UNC,Pittsburgh PITT,20210103,"Petersen Events Center, Pittsburgh, PA"
Clemson CLEM,Miami MIA,20210103,"Watsco Center, Coral Gables, FL"
Virginia Tech VT,Duke DUKE,20210103,"Cameron Indoor Stadium, Durham, NC"
Bucknell BUCK,Navy NAVY,20210103,"Alumni Hall , Annapolis, MD"
American AMER,Loyola (MD) L-MD,20210103,"Reitz Arena, Baltimore, MD"
Lafayette LAF,Lehigh LEH,20210103,"Stabler Arena, Bethlehem, PA"
Boston University BU,Holy Cross HC,20210103,"Hart Center, Worcester, MA"
Army ARMY,Colgate COLG,20210103,"Cotterell Court, Hamilton, NY"
Oral Roberts ORU,Omaha OMA,20210103,"Baxter Arena, Omaha, NE"
North Dakota State NDSU,Western Illinois WIU,20210103,"LeRoy A. Ufkes Court at Western Hall, Macomb, IL"
UM Kansas City UMKC,North Dakota UND,20210103,"Betty Engelstad Sioux Center, Grand Forks, ND"
Denver DEN,South Dakota SDAK,20210103,"Sanford Coyote Sports Center, Vermillion, SD"
UMass Lowell UML,NJIT NJIT,20210103,"NJIT Wellness and Events Center, Newark, NJ"
Maine ME,New Hampshire UNH,20210103,"Lundholm Gymnasium, Durham, NH"
Stony Brook STBK,UMBC UMBC,20210103,"UMBC Event Center, Baltimore, MD"
Hartford HART,Binghamton BING,20210103,"Events Center , Binghamton, NY"
Vermont UVM,Albany ALB,20210103,"SEFCU Arena, Albany, NY"
Kennesaw State KENN,Jacksonville JAX,20210103,"Swisher Gymnasium, Jacksonville, FL"
Stetson STET,North Florida UNF,20210103,"UNF Arena, Jacksonville, FL"
Towson TOW,James Madison JMU,20210103,"Atlantic Union Bank Center, Harrisonburg, VA"
Delaware DEL,Charleston COFC,20210103,"TD Arena, Charleston, SC"
Drexel DREX,UNC Wilmington UNCW,20210103,"Trask Coliseum, Wilmington, NC"
Hofstra HOF,William & Mary W&M,20210103,"Kaplan Arena, Williamsburg, VA"
Northeastern NE,Elon ELON,20210103,"Schar Center, Elon, NC"
Missouri State MOST,Indiana State INST,20210103,"Hulman Center, Terre Haute, IN"
Lipscomb LIP,Liberty LIB,20210103,"Vines Convocation Center, Lynchburg, VA"
Southern Illinois SIU,Evansville EVAN,20210103,"Ford Center, Evansville, IN"
Florida Gulf Coast FGCU,North Alabama UNA,20210103,"Flowers Hall, Florence, AL"
South Carolina SC,Alabama ALA,20210104,"Coleman Coliseum, Tuscaloosa, AL"
Pacific PAC,Gonzaga GONZ,20210104,"McCarthey Athletic Center, Spokane, WA"
South Wesleyan SW,Western Carolina WCU,20210104,"Ramsey Regional Activity Center, Cullowhee, NC"
Fresno State FRES,Wyoming WYO,20210104,"Arena Auditorium, Laramie, WY"
UNC Asheville UNCA,Presbyterian PRES,20210104,"Ross E. Templeton P.E. Center, Clinton, SC"
South Carolina Upstate SCUP,Longwood LONG,20210104,"Willett Hall, Farmville, VA"
Radford RAD,Hampton HAMP,20210104,"Convocation Center , Hampton, VA"
Gardner-Webb GWEB,Charleston Southern CHSO,20210104,"Buccaneer Fieldhouse, Charleston, SC"
Campbell CAMP,High Point HPU,20210104,"Millis Athletic and Convocation Center, High Point, NC"
Texas Southern TXSO,Southern SOU,20210104,"F. G. Clark Activity Center, Baton Rouge, LA"
Prairie View A&M PV,Alcorn State ALCN,20210104,"Davey L. Whitney Complex, Lorman, MS"
Jackson State JKST,Alabama State ALST,20210104,"Dunn-Oliver Acadome, Montgomery, AL"
Grambling GRAM,Alabama A&M AAMU,20210104,"T.M. Elmore Gymnasium, Normal, AL"
North Carolina A&T NCAT,North Carolina Central NCCU,20210104,"McDougald-McLendon Arena, Durham, NC"
Norfolk State NORF,Howard HOW,20210104,"Burr Gymnasium, Washington, DC"
BYU BYU,San Diego USD,20210104,"Jenny Craig Pavilion, San Diego, CA"
Saint Mary's SMC,Portland PORT,20210104,"Chiles Center, Portland, OR"
Pepperdine PEPP,Santa Clara SCU,20210104,"Leavey Center, Santa Clara, CA"
Loyola Marymount LMU,San Francisco SF,20210104,"War Memorial at the Sobrato Center, San Francisco, CA"
UNC Asheville UNCA,Presbyterian PRES,20210105,"Ross E. Templeton P.E. Center, Clinton, SC"
South Carolina Upstate SCUP,Longwood LONG,20210105,"Willett Hall, Farmville, VA"
Radford RAD,Hampton HAMP,20210105,"Convocation Center , Hampton, VA"
Gardner-Webb GWEB,Charleston Southern CHSO,20210105,"Buccaneer Fieldhouse, Charleston, SC"
Campbell CAMP,High Point HPU,20210105,"Millis Athletic and Convocation Center, High Point, NC"
West Virginia WVU,Kansas State KSU,20210105,"Bramlage Coliseum, Manhattan, KS"
Kansas KU,Iowa State ISU,20210106,"James H. Hilton Coliseum, Ames, IA"
Washington Adventist WAU,Delaware State DSU,20210106,"Memorial Hall , Dover, DE"
Boise State BSU,Air Force AFA,20210106,"Clune Arena, Colorado Springs, CO"
Northwestern State NWST,Incarnate Word UIW,20210106,"Alice P. McDermott Convocation Center, San Antonio, TX"
Texas A&M-CC AMCC,Stephen F. Austin SFA,20210106,"William R. Johnson Coliseum, Nacogdoches, TX"
Nicholls State NICH,Lamar LAM,20210106,"Montagne Center, Beaumont, TX"
Central Arkansas CARK,New Orleans UNO,20210106,"Lakefront Arena, New Orleans, LA"
Morgan State MORG,Norfolk State NORF,20210106,"Joseph G. Echols Hall, Norfolk, VA"
Northern Illinois NIU,Kent State KENT,20210106,"M.A.C. Center, Kent, OH"
Toledo TOL,Ball State BALL,20210106,"Worthen Arena, Muncie, IN"
Buffalo BUFF,Eastern Michigan EMU,20210106,"Convocation Center , Ypsilanti, MI"
Akron AKR,Central Michigan CMU,20210106,"McGuirk Arena, Mount Pleasant, MI"
Ohio OHIO,Miami (OH) M-OH,20210106,"Millett Hall, Oxford, OH"
Oklahoma OU,Texas Tech TTU,20210106,"United Supermarkets Arena, Lubbock, TX"
Oklahoma State OKST,TCU TCU,20210106,"Ed and Rae Schollmaier Arena, Fort Worth, TX"
Houston Baptist HBU,Abilene Christian ACU,20210106,"Moody Coliseum , Abilene, TX"
Bowling Green BGSU,Western Michigan WMU,20210106,"University Arena , Kalamazoo, MI"
SE Louisiana SELA,Sam Houston State SHSU,20210106,"Bernard G. Johnson Coliseum, Huntsville, TX"
Georgia UGA,South Carolina SC,20210107,"Colonial Life Arena, Columbia, SC"
UConn CONN,Baylor BAY,20210107,"Ferrell Center, Waco, TX"
Pittsburgh PITT,Louisville LOU,20210107,"KFC Yum! Center, Louisville, KY"
Mississippi State MSST,Florida FLA,20210107,"Exactech Arena at Stephen C. O'Connell Center, Gainesville, FL"
NC State NCST,Virginia Tech VT,20210107,"Cassell Coliseum, Blacksburg, VA"
Kentucky UK,Texas A&M TA&M,20210107,"Reed Arena, College Station, TX"
Arkansas ARK,Tennessee TENN,20210107,"Thompson-Boling Arena, Knoxville, TN"
Notre Dame ND,Boston College BC,20210107,"Silvio O. Conte Forum, Chestnut Hill, MA"
Virginia UVA,Syracuse SYR,20210107,"Carrier Dome, Syracuse, NY"
New Mexico UNM,Utah State USU,20210107,"Dee Glen Smith Spectrum, Logan, UT"
San Diego State SDSU,Nevada NEV,20210107,"Lawlor Events Center, Reno, NV"
Colorado State CSU,UNLV UNLV,20210107,"Cox Pavilion, Las Vegas, NV"
Vanderbilt VAN,Missouri MIZ,20210107,"Mizzou Arena, Columbia, MO"
Auburn AUB,Ole Miss MISS,20210107,"The Pavilion at Ole Miss, Oxford, MS"
LSU LSU,Alabama ALA,20210107,"Coleman Coliseum, Tuscaloosa, AL"
Miami MIA,Wake Forest WAKE,20210107,"Lawrence Joel Coliseum, Winston-Salem, NC"
Duke DUKE,Florida State FSU,20210107,"Donald L. Tucker Center, Tallahassee, FL"
Georgia Tech GT,Clemson CLEM,20210107,"Littlejohn Coliseum, Clemson, SC"
Tennessee Tech TNTC,Morehead State MORE,20210107,"Ellis T. Johnson Arena, Morehead, KY"
Jacksonville State JVST,Eastern Kentucky EKY,20210107,"McBrayer Arena, Richmond, KY"
UAB UAB,Southern Miss USM,20210107,"Reed Green Coliseum, Hattiesburg, MS"
Marshall MRSH,Charlotte CLT,20210107,"Dale F. Halton Arena, Charlotte, NC"
Western Kentucky WKU,Louisiana Tech LT,20210107,"Thomas Assembly Center, Ruston, LA"
Middle Tennessee MTSU,Florida International FIU,20210107,"Ocean Bank Convocation Center, Miami, FL"
UNC Greensboro UNCG,Mercer MER,20210107,"Hawkins Arena, Macon, GA"
Western Carolina WCU,Samford SAM,20210107,"Pete Hanna Center, Birmingham, AL"
Loyola Chicago LUC,Drake DRKE,20210107,"The Knapp Center, Des Moines, IA"
Valparaiso VAL,Northern Iowa UNI,20210107,"McLeod Center, Cedar Falls, IA"
Hofstra HOF,Northeastern NE,20210107,"Solomon Court at Cabot Center, Boston, MA"
Santa Clara SCU,Saint Mary's SMC,20210107,"University Credit Union Pavilion, Moraga, CA"
San Diego USD,Pepperdine PEPP,20210107,"Firestone Fieldhouse, Malibu, CA"
San Francisco SF,Pacific PAC,20210107,"Alex G. Spanos Center, Stockton, CA"
BYU BYU,Loyola Marymount LMU,20210107,"Gersten Pavilion, Los Angeles, CA"
Sacramento State SAC,Portland State PRST,20210107,"Viking Pavilion, Portland, OR"
Northern Colorado UNCO,Montana State MTST,20210107,"Worthington Arena, Bozeman, MT"
Northern Arizona NAU,Idaho State IDST,20210107,"Reed Gym, Pocatello, ID"
Southern Utah SUU,Idaho IDHO,20210107,"Cowan Spectrum, Moscow, ID"
Southeast Missouri State SEMO,Belmont BEL,20210107,"Curb Event Center Arena, Nashville, TN"
Old Dominion ODU,Florida Atlantic FAU,20210107,"FAU Arena, Boca Raton, FL"
Murray State MURR,Eastern Illinois EIU,20210107,"Lantz Arena, Charleston, IL"
UT Martin UTM,Tennessee State TNST,20210107,"Gentry Center, Nashville, TN"
Austin Peay APSU,SIU Edwardsville SIUE,20210107,"First Community Arena at the Vadalabene Center, Edwardsville, IL"
Fairleigh Dickinson FDU,Wagner WAG,20210107,"Spiro Sports Center, Staten Island, NY"
Merrimack MRMK,Sacred Heart SHU,20210107,"William H. Pitt Center, Fairfield, CT"
Bryant BRY,Central Connecticut State CCSU,20210107,"William H. Detrick Gymnasium, New Britain, CT"
St. Francis (BKN) SFBK,Mt. St. Mary's MSM,20210107,"Knott Arena, Emmitsburg, MD"
Long Island University LIU,St. Francis (PA) SFPA,20210107,"DeGol Arena, Loretto, PA"
Weber State WEB,Eastern Washington EWU,20210107,"Reese Court, Cheney, WA"
Oregon ORE,Stanford STAN,20210108,"Maples Pavilion, Stanford, CA"
Arizona ARIZ,Washington WASH,20210108,"Alaska Airlines Arena, Seattle, WA"
Colorado COLO,UCLA UCLA,20210108,"Pauley Pavilion presented by Wescom, Los Angeles, CA"
Oregon State ORST,California CAL,20210108,"Haas Pavilion, Berkeley, CA"
Illinois State ILST,Missouri State MOST,20210108,"JQH Arena, Springfield, MO"
Utah UTAH,USC USC,20210108,"Galen Center, Los Angeles, CA"
Arizona State ASU,Washington State WSU,20210108,"Friel Court at Beasley Coliseum, Pullman, WA"
UTEP UTEP,Rice RICE,20210108,"Tudor Fieldhouse, Houston, TX"
